Filename,Qubits,User Time (s),CPU Percent,Major Page Faults,Minor Page Faults
slurm-2358520.out,2,0.85,70,0,66920
slurm-2358520.out,2,0.82,88,0,49699
slurm-2358520.out,2,0.82,88,0,49711
slurm-2358520.out,2,0.81,86,0,49498
slurm-2358520.out,2,0.82,88,0,49814
slurm-2358520.out,2,0.80,89,0,49183
slurm-2358520.out,2,0.81,87,0,49734
slurm-2358520.out,2,0.81,88,0,49753
slurm-2358520.out,2,0.80,87,0,49251
slurm-2358520.out,2,0.81,89,0,49314
slurm-2358521.out,3,0.79,79,0,66346
slurm-2358521.out,3,0.80,87,0,48404
slurm-2358521.out,3,0.80,88,0,49494
slurm-2358521.out,3,0.81,88,0,49188
slurm-2358521.out,3,0.82,88,0,50280
slurm-2358521.out,3,0.83,88,0,49629
slurm-2358521.out,3,0.81,88,0,49245
slurm-2358521.out,3,0.83,87,0,50021
slurm-2358521.out,3,0.79,87,0,66185
slurm-2358521.out,3,0.82,82,0,66878
slurm-2358549.out,4,0.85,74,0,66479
slurm-2358549.out,4,0.82,87,0,50248
slurm-2358549.out,4,0.81,89,0,49590
slurm-2358549.out,4,0.84,86,0,66905
slurm-2358549.out,4,0.80,87,0,50171
slurm-2358549.out,4,0.82,87,0,49817
slurm-2358549.out,4,0.82,87,0,66801
slurm-2358549.out,4,0.82,88,0,49137
slurm-2358549.out,4,0.83,88,0,48441
slurm-2358549.out,4,0.82,88,0,49207
slurm-2358587.out,5,0.81,62,0,66848
slurm-2358587.out,5,0.77,80,0,51266
slurm-2358587.out,5,0.79,80,0,52101
slurm-2358587.out,5,0.77,81,0,52798
slurm-2358587.out,5,0.77,80,0,52726
slurm-2358587.out,5,0.75,81,0,49784
slurm-2358587.out,5,0.79,74,0,62152
slurm-2358587.out,5,0.78,78,0,53780
slurm-2358587.out,5,0.77,78,0,52135
slurm-2358587.out,5,0.77,79,0,51949
slurm-2358588.out,6,0.76,67,0,65286
slurm-2358588.out,6,0.78,76,0,54858
slurm-2358588.out,6,0.77,79,0,52941
