Filename,Qubits,User Time (s),CPU Percent,Major Page Faults,Minor Page Faults
slurm-2358644.out,1,0.93,86,0,42077
slurm-2358644.out,1,0.92,93,0,42946
slurm-2358644.out,1,0.89,92,0,42874
slurm-2358644.out,1,0.89,92,0,42671
slurm-2358644.out,1,0.91,92,0,42826
slurm-2358644.out,1,0.89,92,0,42259
slurm-2358644.out,1,0.91,92,0,42766
slurm-2358644.out,1,0.93,93,0,42429
slurm-2358644.out,1,0.91,93,0,41884
slurm-2358644.out,1,0.91,90,0,42810
slurm-2358645.out,2,0.90,88,0,43388
slurm-2358645.out,2,0.88,93,0,42710
slurm-2358645.out,2,0.88,93,0,43191
slurm-2358645.out,2,0.90,91,0,43111
slurm-2358645.out,2,0.88,90,0,42989
slurm-2358645.out,2,0.88,90,0,42667
slurm-2358645.out,2,0.88,91,0,43007
slurm-2358645.out,2,0.88,92,0,43406
slurm-2358645.out,2,0.88,91,0,42809
slurm-2358645.out,2,0.88,92,0,43043
slurm-2358651.out,3,0.91,91,0,42936
slurm-2358651.out,3,0.92,94,0,43625
slurm-2358651.out,3,0.92,93,0,42164
slurm-2358651.out,3,0.91,92,0,42809
slurm-2358651.out,3,0.90,92,0,42536
slurm-2358651.out,3,0.89,91,0,43190
slurm-2358651.out,3,0.90,91,0,42999
slurm-2358651.out,3,0.90,92,0,42488
slurm-2358651.out,3,0.92,91,0,42755
slurm-2358651.out,3,0.89,92,0,43128
slurm-2358652.out,4,0.91,82,7,43120
slurm-2358652.out,4,0.90,89,0,43489
slurm-2358652.out,4,0.90,89,0,43844
slurm-2358652.out,4,0.91,90,0,43437
slurm-2358652.out,4,0.91,90,0,43644
slurm-2358652.out,4,0.89,93,0,42846
slurm-2358652.out,4,0.91,90,0,43284
slurm-2358652.out,4,0.91,86,0,43326
slurm-2358652.out,4,0.93,86,0,43692
slurm-2358652.out,4,0.93,86,0,43480
slurm-2358653.out,5,0.89,86,10,43443
slurm-2358653.out,5,0.85,90,0,43270
slurm-2358653.out,5,0.88,90,0,43390
slurm-2358653.out,5,0.88,88,0,42713
slurm-2358653.out,5,0.88,91,0,42635
slurm-2358653.out,5,0.87,89,0,43244
slurm-2358653.out,5,0.89,85,0,42860
slurm-2358653.out,5,0.86,88,0,42814
slurm-2358653.out,5,0.85,85,0,43442
slurm-2358653.out,5,0.87,88,0,42736
slurm-2358654.out,6,0.86,88,0,42436
slurm-2358654.out,6,0.88,92,0,43011
slurm-2358654.out,6,0.87,90,0,42988
slurm-2358654.out,6,0.89,92,0,43308
slurm-2358654.out,6,0.87,93,0,42639
slurm-2358654.out,6,0.87,92,0,42708
slurm-2358654.out,6,0.88,92,0,41999
slurm-2358654.out,6,0.87,92,0,42776
slurm-2358654.out,6,0.87,93,0,43127
slurm-2358654.out,6,0.87,92,0,43564
slurm-2358665.out,7,0.88,87,0,42216
slurm-2358665.out,7,0.87,92,0,42937
slurm-2358665.out,7,0.87,92,0,43310
slurm-2358665.out,7,0.85,92,0,43353
slurm-2358665.out,7,0.87,92,0,43340
slurm-2358665.out,7,0.87,92,0,43116
slurm-2358665.out,7,0.87,90,0,43284
slurm-2358665.out,7,0.87,92,0,43542
slurm-2358665.out,7,0.86,93,0,42696
slurm-2358665.out,7,0.88,93,0,42508
slurm-2358666.out,8,0.88,89,0,42628
slurm-2358666.out,8,0.88,92,0,43376
slurm-2358666.out,8,0.87,93,0,43303
slurm-2358666.out,8,0.89,93,0,43287
slurm-2358666.out,8,0.87,92,0,42826
slurm-2358666.out,8,0.87,92,0,43082
slurm-2358666.out,8,0.87,92,0,43371
slurm-2358666.out,8,0.87,90,0,42753
slurm-2358666.out,8,0.87,92,0,42251
slurm-2358666.out,8,0.87,93,0,42300
slurm-2358683.out,9,0.88,87,0,43375
slurm-2358683.out,9,0.87,92,0,43301
slurm-2358683.out,9,0.88,93,0,42189
slurm-2358683.out,9,0.90,92,0,42143
slurm-2358683.out,9,0.88,91,0,42564
slurm-2358683.out,9,0.87,92,0,43120
slurm-2358683.out,9,0.88,91,0,42669
slurm-2358683.out,9,0.86,91,0,43340
slurm-2358683.out,9,0.87,92,0,43635
slurm-2358683.out,9,0.88,92,0,43355
slurm-2358684.out,10,0.89,88,0,42881
slurm-2358684.out,10,0.87,93,0,43332
slurm-2358684.out,10,0.88,92,0,43247
slurm-2358684.out,10,0.88,92,0,42994
slurm-2358684.out,10,0.86,91,0,42448
slurm-2358684.out,10,0.88,92,0,43629
slurm-2358684.out,10,0.87,92,0,43005
slurm-2358684.out,10,0.86,93,0,42220
slurm-2358684.out,10,0.86,92,0,43197
slurm-2358684.out,10,0.85,92,0,43050
slurm-2358685.out,11,0.87,87,0,42839
slurm-2358685.out,11,0.89,88,0,43675
slurm-2358685.out,11,0.89,89,0,43563
slurm-2358685.out,11,0.87,90,0,43441
slurm-2358685.out,11,0.86,89,0,43037
slurm-2358685.out,11,0.87,91,0,42753
slurm-2358685.out,11,0.86,93,0,43461
slurm-2358685.out,11,0.89,91,0,43299
slurm-2358685.out,11,0.87,89,0,43148
slurm-2358685.out,11,0.85,91,0,42758
slurm-2358691.out,12,0.87,86,0,43672
slurm-2358691.out,12,0.88,91,0,42824
slurm-2358691.out,12,0.91,92,0,43325
slurm-2358691.out,12,0.89,92,0,42689
slurm-2358691.out,12,0.89,92,0,43514
slurm-2358691.out,12,0.89,91,0,43406
slurm-2358691.out,12,0.87,91,0,43124
slurm-2358691.out,12,0.89,92,0,43585
slurm-2358691.out,12,0.88,94,0,43204
slurm-2358691.out,12,0.87,91,0,43130
slurm-2358696.out,13,0.86,88,0,43504
slurm-2358696.out,13,0.88,91,0,43054
slurm-2358696.out,13,0.88,92,0,42940
slurm-2358696.out,13,0.87,92,0,42603
slurm-2358696.out,13,0.87,92,0,42928
slurm-2358696.out,13,0.88,91,0,42513
slurm-2358696.out,13,0.88,92,0,42678
slurm-2358696.out,13,0.86,92,0,42930
slurm-2358696.out,13,0.88,92,0,41825
slurm-2358696.out,13,0.90,92,0,43548
slurm-2358697.out,14,0.88,87,0,43185
slurm-2358697.out,14,0.88,91,0,42527
slurm-2358697.out,14,0.87,89,0,43252
slurm-2358697.out,14,0.90,90,0,42484
slurm-2358697.out,14,0.89,91,0,42812
slurm-2358697.out,14,0.87,90,0,43010
slurm-2358697.out,14,0.87,92,0,43270
slurm-2358697.out,14,0.87,90,0,43308
slurm-2358697.out,14,0.89,90,0,42710
slurm-2358697.out,14,0.88,90,0,42898
slurm-2358698.out,15,0.89,87,0,43297
slurm-2358698.out,15,0.87,92,0,43155
slurm-2358698.out,15,0.88,93,0,43650
slurm-2358698.out,15,0.88,92,0,43514
slurm-2358698.out,15,0.88,92,0,43358
slurm-2358698.out,15,0.87,91,0,43141
slurm-2358698.out,15,0.88,92,0,43393
slurm-2358698.out,15,0.88,92,0,42920
slurm-2358698.out,15,0.87,92,0,43621
slurm-2358698.out,15,0.87,93,0,42887
slurm-2358705.out,16,0.91,82,2,43083
slurm-2358705.out,16,0.88,91,0,42772
slurm-2358705.out,16,0.91,90,0,43048
slurm-2358705.out,16,0.90,90,0,43453
slurm-2358705.out,16,0.89,89,0,43333
slurm-2358705.out,16,0.92,92,0,42784
slurm-2358705.out,16,0.91,91,0,42498
slurm-2358705.out,16,0.91,90,0,42780
slurm-2358705.out,16,0.89,90,0,42922
slurm-2358705.out,16,0.88,90,0,42837
slurm-2358706.out,17,0.87,84,0,42799
slurm-2358706.out,17,0.86,92,0,43112
slurm-2358706.out,17,0.88,89,0,42306
slurm-2358706.out,17,0.89,88,0,42425
slurm-2358706.out,17,0.86,88,0,42109
slurm-2358706.out,17,0.87,86,0,42435
slurm-2358706.out,17,0.88,86,0,42316
slurm-2358706.out,17,0.89,87,0,43521
slurm-2358706.out,17,0.87,86,0,43452
slurm-2358706.out,17,0.85,87,0,43362
slurm-2358707.out,18,0.90,84,0,42284
slurm-2358707.out,18,0.91,91,0,43458
slurm-2358707.out,18,0.93,92,0,42807
slurm-2358707.out,18,0.92,90,0,43292
slurm-2358707.out,18,0.90,90,0,43493
slurm-2358707.out,18,0.87,90,0,43154
slurm-2358707.out,18,0.90,90,0,42854
slurm-2358707.out,18,0.89,90,0,43307
slurm-2358707.out,18,0.91,89,0,43660
slurm-2358707.out,18,0.91,88,0,42305
slurm-2358708.out,19,0.90,85,10,43572
slurm-2358708.out,19,0.88,91,0,43651
slurm-2358708.out,19,0.88,88,0,42915
slurm-2358708.out,19,0.88,88,0,43479
slurm-2358708.out,19,0.87,88,0,42658
slurm-2358708.out,19,0.87,88,0,43063
slurm-2358708.out,19,0.88,90,0,43561
slurm-2358708.out,19,0.88,91,0,42430
slurm-2358708.out,19,0.87,87,0,43122
slurm-2358708.out,19,0.87,88,0,43550
slurm-2358709.out,20,0.90,83,1,43098
slurm-2358709.out,20,0.90,90,0,43437
slurm-2358709.out,20,0.89,89,0,43422
slurm-2358709.out,20,0.91,90,0,43398
slurm-2358709.out,20,0.90,90,0,42705
slurm-2358709.out,20,0.90,89,0,43602
slurm-2358709.out,20,0.90,92,0,42832
slurm-2358709.out,20,0.89,91,0,43713
slurm-2358709.out,20,0.90,90,0,43106
slurm-2358709.out,20,0.91,87,0,42470
slurm-2358710.out,21,0.89,82,3,42572
slurm-2358710.out,21,0.88,89,0,43118
slurm-2358710.out,21,0.89,91,0,43474
slurm-2358710.out,21,0.85,90,0,42768
slurm-2358710.out,21,0.87,90,0,41824
slurm-2358710.out,21,0.88,90,0,43241
slurm-2358710.out,21,0.88,87,0,42963
slurm-2358710.out,21,0.87,86,0,43036
slurm-2358710.out,21,0.86,86,0,43142
slurm-2358710.out,21,0.88,85,0,43440
slurm-2358711.out,22,0.90,85,2,43324
slurm-2358711.out,22,0.91,91,0,42664
slurm-2358711.out,22,0.93,91,0,43643
slurm-2358711.out,22,0.91,92,0,43296
slurm-2358711.out,22,0.90,90,0,42193
slurm-2358711.out,22,0.91,92,0,43090
slurm-2358711.out,22,0.90,88,0,43431
slurm-2358711.out,22,0.92,91,0,43400
slurm-2358711.out,22,0.92,89,0,43496
slurm-2358711.out,22,0.90,90,0,42489
slurm-2358712.out,23,0.89,80,4,43099
slurm-2358712.out,23,0.87,87,0,43121
slurm-2358712.out,23,0.84,88,0,42259
slurm-2358712.out,23,0.87,86,0,42968
slurm-2358712.out,23,0.87,86,0,43016
slurm-2358712.out,23,0.89,87,0,42942
slurm-2358712.out,23,0.88,85,0,43506
slurm-2358712.out,23,0.87,86,0,43491
slurm-2358712.out,23,0.87,85,0,43413
slurm-2358712.out,23,0.88,86,0,43288
slurm-2358713.out,24,0.91,85,1,42979
slurm-2358713.out,24,0.92,90,0,43013
slurm-2358713.out,24,0.92,88,0,43145
slurm-2358713.out,24,0.90,91,0,42871
slurm-2358713.out,24,0.91,87,0,43851
slurm-2358713.out,24,0.93,90,0,43114
slurm-2358713.out,24,0.90,90,0,42922
slurm-2358713.out,24,0.89,89,0,43167
slurm-2358713.out,24,0.93,90,0,42927
slurm-2358713.out,24,0.93,90,0,43733
slurm-2358714.out,25,0.92,81,3,42911
slurm-2358714.out,25,0.90,86,0,42763
slurm-2358714.out,25,0.88,85,0,42556
slurm-2358714.out,25,0.88,86,0,42981
slurm-2358714.out,25,0.89,88,0,43128
slurm-2358714.out,25,0.91,86,0,42486
slurm-2358714.out,25,0.89,85,0,43164
slurm-2358714.out,25,0.87,86,0,43407
slurm-2358714.out,25,0.90,86,0,42838
slurm-2358714.out,25,0.88,85,0,42819
slurm-2358715.out,26,0.91,83,0,42957
slurm-2358715.out,26,0.92,91,0,41666
slurm-2358715.out,26,0.94,87,0,43332
slurm-2358715.out,26,0.94,90,0,43515
slurm-2358715.out,26,0.93,89,0,43265
slurm-2358715.out,26,0.91,86,0,42395
slurm-2358715.out,26,0.93,90,0,43436
slurm-2358715.out,26,0.95,90,0,42845
slurm-2358715.out,26,0.94,91,0,42912
slurm-2358715.out,26,0.93,91,0,43587
slurm-2358716.out,27,0.95,86,1,43472
slurm-2358716.out,27,0.91,89,0,43601
slurm-2358716.out,27,0.95,89,0,43316
slurm-2358716.out,27,0.93,88,0,42863
slurm-2358716.out,27,0.92,89,0,43073
slurm-2358716.out,27,0.93,88,0,43686
slurm-2358716.out,27,0.93,89,0,43356
slurm-2358716.out,27,0.92,89,0,43161
slurm-2358716.out,27,0.94,89,0,42989
slurm-2358716.out,27,0.94,88,0,42871
slurm-2358717.out,28,1.02,85,1,43311
slurm-2358717.out,28,1.03,90,0,43175
slurm-2358717.out,28,1.03,92,0,43650
slurm-2358717.out,28,1.00,93,0,43524
slurm-2358717.out,28,1.03,93,0,43337
slurm-2358717.out,28,1.01,93,0,42980
slurm-2358717.out,28,1.04,91,0,43232
slurm-2358717.out,28,1.03,93,0,43694
slurm-2358717.out,28,1.02,90,0,43211
slurm-2358717.out,28,1.03,93,0,43477
slurm-2358718.out,29,1.12,85,2,43847
slurm-2358718.out,29,1.13,92,0,43910
slurm-2358718.out,29,1.11,93,0,42285
slurm-2358718.out,29,1.11,94,0,43106
slurm-2358718.out,29,1.11,94,0,43255
slurm-2358718.out,29,1.11,94,0,43334
slurm-2358718.out,29,1.11,95,0,43390
slurm-2358718.out,29,1.08,92,0,42580
slurm-2358718.out,29,1.11,89,0,43012
slurm-2358718.out,29,1.13,94,0,43046
slurm-2358719.out,30,1.40,92,0,61084
slurm-2358719.out,30,1.45,94,0,60072
slurm-2358719.out,30,1.40,93,0,59729
slurm-2358719.out,30,1.39,94,0,60126
slurm-2358719.out,30,1.39,94,0,60133
slurm-2358719.out,30,1.37,94,0,60605
slurm-2358719.out,30,1.42,93,0,60607
slurm-2358719.out,30,1.40,93,0,59593
slurm-2358719.out,30,1.44,93,0,59980
slurm-2358719.out,30,1.39,94,0,59831
