ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [ms],Runtime Improvement [ms],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block],Cycles [cycle]
6,0.00,constMatApplShTargetsKernel,..constMatApplShTargetsKernel..,49.72,0.00,73.08,88.85,56,"2097152,    1,    1","   64,    1,    1","70,102,893"
7,0.00,constMatApplShTargetsKernel,..constMatApplShTargetsKernel..,49.63,0.00,73.16,89.00,56,"2097152,    1,    1","   64,    1,    1","69,982,980"
4,0.00,constMatApplShTargetsKernel,..constMatApplShTargetsKernel..,49.61,0.00,73.18,89.05,56,"2097152,    1,    1","   64,    1,    1","69,945,325"
2,0.00,constMatApplShTargetsKernel,..constMatApplShTargetsKernel..,49.51,0.00,73.34,89.23,56,"2097152,    1,    1","   64,    1,    1","69,803,808"
3,0.00,constMatApplShTargetsKernel,..constMatApplShTargetsKernel..,49.37,0.00,73.50,89.47,56,"2097152,    1,    1","   64,    1,    1","69,616,141"
5,0.00,constMatApplKernel_Relocate,..constMatApplKernel_Relocate..,49.01,0.00,75.13,90.13,96,"2097152,    1,    1","   64,    1,    1","69,105,880"
8,0.00,constMatApplKernel_Relocate,..constMatApplKernel_Relocate..,48.89,0.00,75.27,90.35,96,"2097152,    1,    1","   64,    1,    1","68,940,017"
9,0.00,constMatApplLoopKernel,..constMatApplLoopKernel..,48.75,0.00,37.29,90.62,40,"2097152,    1,    1","   64,    1,    1","68,733,285"
1,0.00,constMatApplKernel_Relocate,..constMatApplKernel_Relocate..,48.52,0.00,75.99,91.04,96,"2097152,    1,    1","   64,    1,    1","68,417,776"
10,0.00,calculateAbs2SumIn10BitSegmentsKernel,..calculateAbs2SumIn10BitSegmentsKernel..,23.37,0.00,55.02,94.64,32,"2097152,    1,    1","  128,    1,    1","32,951,050"
0,0.00,setZeroStateKernel,..setZeroStateKernel..,22.19,0.00,20.39,99.50,16,"16777216,    1,    1","  128,    1,    1","31,288,670"
11,5.62,blockwiseCumulativeSumKernel,..calculateCumulativeSumInPlace..,0.04,0.00,41.49,75.80,32," 2048,    1,    1","  128,    1,    1","56,889"
13,0.00,applyPrevCumsumKernel,..applyPrevCumsumKernel..,0.04,0.00,22.62,80.39,16,"16384,    1,    1","  128,    1,    1","53,612"
16,0.00,samplingKernel,..samplingKernel..BitPermutation..,0.03,0.00,55.77,44.57,40," 1000,    1,    1","  128,    1,    1","46,176"
15,97.62,DeviceRadixSortSingleTileKernel,..DeviceRadixSortSingleTileKernel..,0.02,0.02,1.16,1.50,103,"    1,    1,    1","  256,    1,    1","31,951"
12,97.62,intervalCumulativeSumKernel,..intervalCumulativeSumKernel..,0.01,0.01,0.99,1.53,52,"    1,    1,    1"," 1024,    1,    1","18,003"
17,80.95,transformKernel,..revertToRandnumOrder..,0.00,0.00,0.17,0.78,16,"    8,    1,    1","  128,    1,    1","3,458"
14,80.95,transformKernel,..custatevecSamplerOutput_t..,0.00,0.00,0.16,0.53,16,"    8,    1,    1","  128,    1,    1","2,843"
