ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [ms],Runtime Improvement [ms],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block],Cycles [cycle]
8,0.00,constMatApplKernel_cc70,..constMatApplKernel_cc70..,45.78,0.00,44.31,83.56,48,"1048576,    1,    1","   32,    2,    1","63,361,883"
9,0.00,constMatApplKernel_cc70,..constMatApplKernel_cc70..,45.75,0.00,44.39,83.60,48,"1048576,    1,    1","   32,    2,    1","63,279,688"
5,0.00,constMatApplKernel_cc70,..constMatApplKernel_cc70..,45.61,0.00,44.49,83.85,48,"1048576,    1,    1","   32,    2,    1","63,089,121"
1,0.00,constMatApplKernel_cc70_Relocate,..constMatApplKernel_cc70_Relocate..,42.17,0.00,49.50,90.67,56,"4194304,    1,    1","   32,    2,    1","58,468,501"
4,0.00,constMatApplKernel_cc70,..constMatApplKernel_cc70..,42.11,0.00,48.27,90.82,48,"4194304,    1,    1","   32,    2,    1","58,243,209"
2,0.00,constMatApplKernel_cc70,..constMatApplKernel_cc70..,41.85,0.00,48.56,91.38,48,"4194304,    1,    1","   32,    2,    1","57,902,534"
3,0.00,constMatApplKernel_cc70,..constMatApplKernel_cc70..,41.80,0.00,48.64,91.48,48,"4194304,    1,    1","   32,    2,    1","57,816,422"
6,0.00,constMatApplKernel_cc70_Relocate,..constMatApplKernel_cc70_Relocate..,41.76,0.00,50.04,91.60,56,"4194304,    1,    1","   32,    2,    1","57,897,156"
7,0.00,constMatApplKernel_cc70,..constMatApplKernel_cc70..,41.66,0.00,48.80,91.81,48,"4194304,    1,    1","   32,    2,    1","57,639,187"
0,8.49,setZeroStateKernel,..setZeroStateKernel..,26.17,2.22,9.26,73.06,16,"16777216,    1,    1","  128,    1,    1","36,301,338"
10,0.00,calculateAbs2SumIn10BitSegmentsKernel,..calculateAbs2SumIn10BitSegmentsKernel..,19.78,0.00,35.57,96.93,32,"2097152,    1,    1","  128,    1,    1","27,422,776"
11,50.00,blockwiseCumulativeSumKernel,..calculateCumulativeSumInPlace..,0.05,0.02,22.33,86.23,32," 2048,    1,    1","  128,    1,    1","62,652"
13,0.00,applyPrevCumsumKernel,..applyPrevCumsumKernel..,0.04,0.00,11.37,88.08,16,"16384,    1,    1","  128,    1,    1","58,729"
16,14.47,samplingKernel,..samplingKernel..BitPermutation..,0.03,0.00,33.70,27.79,48," 1000,    1,    1","  128,    1,    1","37,951"
15,98.75,DeviceRadixSortSingleTileKernel,..DeviceRadixSortSingleTileKernel..,0.03,0.03,0.66,0.81,103,"    1,    1,    1","  256,    1,    1","36,474"
12,98.75,intervalCumulativeSumKernel,..intervalCumulativeSumKernel..,0.01,0.01,0.51,1.24,50,"    1,    1,    1"," 1024,    1,    1","18,494"
17,90.00,transformKernel,..revertToRandnumOrder..,0.00,0.00,0.09,0.69,16,"    8,    1,    1","  128,    1,    1","3,701"
14,90.00,transformKernel,..custatevecSamplerOutput_t..,0.00,0.00,0.08,0.22,16,"    8,    1,    1","  128,    1,    1","2,927"
