ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [ms],Runtime Improvement [ms],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block],Cycles [cycle]
6,0.00,constMatApplKernel_cc70,..constMatApplKernel_cc70..,22.78,0.00,44.51,84.01,48,"524288,    1,    1","   32,    2,    1","31,531,830"
7,0.00,constMatApplKernel_cc70,..constMatApplKernel_cc70..,22.76,0.00,44.51,84.02,48,"524288,    1,    1","   32,    2,    1","31,516,040"
5,0.00,constMatApplKernel_cc70,..constMatApplKernel_cc70..,22.75,0.00,44.60,83.97,48,"2097152,    1,    1","   32,    2,    1","31,480,689"
8,0.00,constMatApplLoopKernel,..constMatApplLoopKernel..,21.13,0.00,11.55,90.54,32,"2097152,    1,    1","   64,    1,    1","29,296,690"
1,0.00,constMatApplKernel_cc70_Relocate,..constMatApplKernel_cc70_Relocate..,21.03,0.00,49.59,90.97,56,"2097152,    1,    1","   32,    2,    1","29,152,698"
2,0.00,constMatApplKernel_cc70_Relocate,..constMatApplKernel_cc70_Relocate..,20.87,0.00,49.98,91.67,56,"2097152,    1,    1","   32,    2,    1","28,935,382"
4,0.00,constMatApplKernel_cc70,..constMatApplKernel_cc70..,20.74,0.00,48.92,92.19,48,"2097152,    1,    1","   32,    2,    1","28,717,617"
3,0.00,constMatApplKernel_cc70,..constMatApplKernel_cc70..,20.65,0.00,49.18,92.62,48,"2097152,    1,    1","   32,    2,    1","28,564,973"
0,9.01,setZeroStateKernel,..setZeroStateKernel..,13.30,1.20,9.24,73.03,16,"8388608,    1,    1","  128,    1,    1","18,048,616"
9,0.00,calculateAbs2SumIn10BitSegmentsKernel,..calculateAbs2SumIn10BitSegmentsKernel..,9.89,0.00,35.49,96.93,32,"1048576,    1,    1","  128,    1,    1","13,709,811"
14,98.75,DeviceRadixSortSingleTileKernel,..DeviceRadixSortSingleTileKernel..,0.03,0.03,0.72,0.77,103,"    1,    1,    1","  256,    1,    1","35,536"
10,11.36,blockwiseCumulativeSumKernel,..calculateCumulativeSumInPlace..,0.02,0.00,22.18,79.77,32," 1024,    1,    1","  128,    1,    1","32,401"
12,7.26,applyPrevCumsumKernel,..applyPrevCumsumKernel..,0.02,0.00,11.80,85.11,16," 8192,    1,    1","  128,    1,    1","30,938"
15,98.75,samplingKernel,..samplingKernel..BitPermutation..,0.02,0.02,0.06,0.16,48,"    1,    1,    1","  128,    1,    1","24,680"
11,98.75,intervalCumulativeSumKernel,..intervalCumulativeSumKernel..,0.01,0.01,0.60,0.82,50,"    1,    1,    1"," 1024,    1,    1","16,317"
16,98.75,transformKernel,..revertToRandnumOrder..,0.00,0.00,0.01,0.11,16,"    1,    1,    1","  128,    1,    1","4,023"
13,98.75,transformKernel,..custatevecSamplerOutput_t..,0.00,0.00,0.01,0.14,16,"    1,    1,    1","  128,    1,    1","3,345"
