ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block],Cycles [cycle]
9397,97.62,shmemMatApplKernel,..shmemMatApplKernel..,25.95,25.33,0.27,0.53,168,"    1,    1,    1","   64,    1,    1","36,524"
13717,97.62,shmemMatApplKernel,..shmemMatApplKernel..,25.86,25.24,0.27,0.53,168,"    1,    1,    1","   64,    1,    1","36,402"
2901,97.62,shmemMatApplKernel,..shmemMatApplKernel..,25.82,25.21,0.27,0.53,168,"    1,    1,    1","   64,    1,    1","36,337"
11629,97.62,shmemMatApplKernel,..shmemMatApplKernel..,25.76,25.15,0.27,0.53,168,"    1,    1,    1","   64,    1,    1","36,285"
14329,97.62,shmemMatApplKernel,..shmemMatApplKernel..,25.76,25.15,0.27,0.53,168,"    1,    1,    1","   64,    1,    1","36,261"
12133,97.62,shmemMatApplKernel,..shmemMatApplKernel..,25.70,25.08,0.27,0.54,168,"    1,    1,    1","   64,    1,    1","36,188"
2481,97.62,shmemMatApplKernel,..shmemMatApplKernel..,25.66,25.05,0.28,0.54,168,"    1,    1,    1","   64,    1,    1","36,107"
4781,97.62,shmemMatApplKernel,..shmemMatApplKernel..,25.66,25.05,0.27,0.54,168,"    1,    1,    1","   64,    1,    1","36,119"
8353,97.62,shmemMatApplKernel,..shmemMatApplKernel..,25.66,25.05,0.27,0.54,168,"    1,    1,    1","   64,    1,    1","36,120"
9325,97.62,shmemMatApplKernel,..shmemMatApplKernel..,25.66,25.05,0.27,0.54,168,"    1,    1,    1","   64,    1,    1","36,107"
9793,97.62,shmemMatApplKernel,..shmemMatApplKernel..,25.66,25.05,0.27,0.54,168,"    1,    1,    1","   64,    1,    1","36,130"
2721,97.62,shmemMatApplKernel,..shmemMatApplKernel..,25.63,25.02,0.27,0.54,168,"    1,    1,    1","   64,    1,    1","36,071"
2821,97.62,shmemMatApplKernel,..shmemMatApplKernel..,25.63,25.02,0.27,0.54,168,"    1,    1,    1","   64,    1,    1","36,071"
3081,97.62,shmemMatApplKernel,..shmemMatApplKernel..,25.63,25.02,0.27,0.54,168,"    1,    1,    1","   64,    1,    1","36,041"
4865,97.62,shmemMatApplKernel,..shmemMatApplKernel..,25.63,25.02,0.28,0.54,168,"    1,    1,    1","   64,    1,    1","36,051"
6573,97.62,shmemMatApplKernel,..shmemMatApplKernel..,25.63,25.02,0.27,0.54,168,"    1,    1,    1","   64,    1,    1","36,084"
8821,97.62,shmemMatApplKernel,..shmemMatApplKernel..,25.63,25.02,0.27,0.54,168,"    1,    1,    1","   64,    1,    1","36,073"
10189,97.62,shmemMatApplKernel,..shmemMatApplKernel..,25.63,25.02,0.27,0.54,168,"    1,    1,    1","   64,    1,    1","36,097"
13177,97.62,shmemMatApplKernel,..shmemMatApplKernel..,25.63,25.02,0.28,0.54,168,"    1,    1,    1","   64,    1,    1","36,060"
