ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [ms],Runtime Improvement [ms],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block],Cycles [cycle]
0,0.00,setZeroStateKernel,..setZeroStateKernel..,11.09,0.00,20.51,99.53,16,"8388608,    1,    1","  128,    1,    1","15,582,975"
1,0.00,constMatApplKernel_Relocate,..constMatApplKernel_Relocate..,24.65,0.00,76.19,89.58,96,"1048576,    1,    1","   64,    1,    1","34,612,050"
2,0.00,constMatApplKernel_Relocate,..constMatApplKernel_Relocate..,24.61,0.00,75.07,89.74,96,"1048576,    1,    1","   64,    1,    1","34,677,322"
3,0.00,constMatApplShTargetsKernel,..constMatApplShTargetsKernel..,24.89,0.00,73.28,88.73,56,"1048576,    1,    1","   64,    1,    1","34,949,336"
4,0.00,constMatApplShTargetsKernel,..constMatApplShTargetsKernel..,24.91,0.00,73.26,88.63,56,"1048576,    1,    1","   64,    1,    1","34,983,172"
5,0.00,constMatApplShTargetsKernel,..constMatApplShTargetsKernel..,24.66,0.00,73.99,89.53,56,"1048576,    1,    1","   64,    1,    1","34,751,958"
6,0.00,constMatApplShTargetsKernel,..constMatApplShTargetsKernel..,24.83,0.00,73.46,88.94,56,"1048576,    1,    1","   64,    1,    1","34,876,391"
7,0.00,constMatApplShTargetsKernel,..constMatApplShTargetsKernel..,24.75,0.00,73.68,89.22,56,"1048576,    1,    1","   64,    1,    1","34,755,075"
8,0.00,constMatApplLoopKernel,..constMatApplLoopKernel..,24.35,0.00,18.78,90.67,32,"2097152,    1,    1","   64,    1,    1","34,327,577"
9,0.00,calculateAbs2SumIn10BitSegmentsKernel,..calculateAbs2SumIn10BitSegmentsKernel..,11.69,0.00,55.25,94.58,32,"1048576,    1,    1","  128,    1,    1","16,431,021"
10,50.00,blockwiseCumulativeSumKernel,..calculateCumulativeSumInPlace..,0.02,0.01,38.79,51.62,32," 1024,    1,    1","  128,    1,    1","29,475"
11,97.62,intervalCumulativeSumKernel,..intervalCumulativeSumKernel..,0.01,0.01,1.11,1.42,52,"    1,    1,    1"," 1024,    1,    1","15,777"
12,0.00,applyPrevCumsumKernel,..applyPrevCumsumKernel..,0.02,0.00,25.70,65.42,16," 8192,    1,    1","  128,    1,    1","23,294"
13,97.62,transformKernel,..custatevecSamplerOutput_t..,0.00,0.00,0.01,0.42,16,"    1,    1,    1","  128,    1,    1","2,957"
14,97.62,DeviceRadixSortSingleTileKernel,..DeviceRadixSortSingleTileKernel..,0.02,0.02,1.25,1.41,103,"    1,    1,    1","  256,    1,    1","29,931"
15,97.62,samplingKernel,..samplingKernel..,0.02,0.02,0.10,0.27,40,"    1,    1,    1","  128,    1,    1","25,102"
16,97.62,transformKernel,..revertToRandnumOrder..,0.00,0.00,0.01,0.36,16,"    1,    1,    1","  128,    1,    1","3,527"
