ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block],Cycles [cycle]
18317,97.50,DeviceRadixSortOnesweepKernel,..DeviceRadixSortOnesweepKernel..,23.14,22.56,0.22,0.46,78,"    2,    1,    1","  256,    1,    1","28,611"
18315,97.50,DeviceRadixSortOnesweepKernel,..DeviceRadixSortOnesweepKernel..,22.14,21.59,0.38,0.50,78,"    2,    1,    1","  256,    1,    1","27,359"
18316,97.50,DeviceRadixSortOnesweepKernel,..DeviceRadixSortOnesweepKernel..,21.82,21.28,0.37,0.50,78,"    2,    1,    1","  256,    1,    1","26,942"
18310,97.50,DeviceRadixSortOnesweepKernel,..DeviceRadixSortOnesweepKernel..,21.73,21.18,0.37,0.50,78,"    2,    1,    1","  256,    1,    1","26,806"
18314,97.50,DeviceRadixSortOnesweepKernel,..DeviceRadixSortOnesweepKernel..,21.54,21.00,0.37,0.50,78,"    2,    1,    1","  256,    1,    1","26,595"
18312,97.50,DeviceRadixSortOnesweepKernel,..DeviceRadixSortOnesweepKernel..,21.34,20.81,0.37,0.50,78,"    2,    1,    1","  256,    1,    1","26,359"
18313,97.50,DeviceRadixSortOnesweepKernel,..DeviceRadixSortOnesweepKernel..,21.18,20.65,0.38,0.50,78,"    2,    1,    1","  256,    1,    1","26,191"
18311,97.50,DeviceRadixSortOnesweepKernel,..DeviceRadixSortOnesweepKernel..,21.02,20.50,0.37,0.51,78,"    2,    1,    1","  256,    1,    1","25,970"
3393,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.49,19.24,0.06,0.17,96,"    1,    1,    1","   64,    1,    1","24,062"
1145,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.33,19.09,0.06,0.17,96,"    1,    1,    1","   64,    1,    1","23,866"
3540,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.33,19.09,0.05,0.17,96,"    1,    1,    1","   64,    1,    1","23,853"
5974,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.30,19.05,0.05,0.18,96,"    1,    1,    1","   64,    1,    1","23,833"
6786,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.30,19.05,0.06,0.17,96,"    1,    1,    1","   64,    1,    1","23,846"
10268,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.26,19.02,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,790"
11267,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.26,19.02,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,777"
12081,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.26,19.02,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,794"
13635,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.26,19.02,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,761"
13857,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.26,19.02,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,773"
3435,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.23,18.99,0.06,0.17,96,"    1,    1,    1","   64,    1,    1","23,751"
8381,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.23,18.99,0.06,0.17,96,"    1,    1,    1","   64,    1,    1","23,769"
12303,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.23,18.99,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,752"
13376,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.23,18.99,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,752"
15559,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.23,18.99,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,736"
16040,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.23,18.99,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,771"
16114,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.23,18.99,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,739"
16188,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.23,18.99,0.05,0.17,96,"    1,    1,    1","   64,    1,    1","23,768"
3057,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.20,18.96,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,681"
10342,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.20,18.96,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,734"
12377,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.20,18.96,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,719"
12525,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.20,18.96,0.05,0.18,96,"    1,    1,    1","   64,    1,    1","23,741"
13043,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.20,18.96,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,710"
2532,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.17,18.93,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,685"
3351,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.17,18.93,0.06,0.17,96,"    1,    1,    1","   64,    1,    1","23,677"
10564,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.17,18.93,0.05,0.18,96,"    1,    1,    1","   64,    1,    1","23,672"
13709,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.17,18.93,0.05,0.17,96,"    1,    1,    1","   64,    1,    1","23,669"
13117,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.14,18.90,0.05,0.18,96,"    1,    1,    1","   64,    1,    1","23,661"
16336,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.14,18.90,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,675"
1275,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.10,18.87,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,572"
3036,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.10,18.87,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,603"
8196,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.10,18.87,0.06,0.17,96,"    1,    1,    1","   64,    1,    1","23,582"
10490,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.10,18.87,0.06,0.17,96,"    1,    1,    1","   64,    1,    1","23,602"
1171,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.07,18.83,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,535"
3330,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.07,18.83,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,543"
14486,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.07,18.83,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,561"
16965,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.07,18.83,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,562"
11600,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.04,18.80,0.05,0.18,96,"    1,    1,    1","   64,    1,    1","23,525"
14264,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.04,18.80,0.05,0.18,96,"    1,    1,    1","   64,    1,    1","23,498"
5046,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.01,18.77,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,463"
5945,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.01,18.77,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,497"
6641,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.01,18.77,0.05,0.17,96,"    1,    1,    1","   64,    1,    1","23,476"
10638,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.01,18.77,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,497"
12266,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.01,18.77,0.06,0.17,96,"    1,    1,    1","   64,    1,    1","23,455"
13339,98.75,shmemMatApplKernel,..shmemMatApplKernel..,19.01,18.77,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,483"
2742,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.98,18.74,0.06,0.17,96,"    1,    1,    1","   64,    1,    1","23,460"
5800,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.98,18.74,0.06,0.17,96,"    1,    1,    1","   64,    1,    1","23,431"
8603,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.98,18.74,0.06,0.17,96,"    1,    1,    1","   64,    1,    1","23,446"
10453,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.98,18.74,0.06,0.17,96,"    1,    1,    1","   64,    1,    1","23,418"
12192,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.98,18.74,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,451"
15633,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.98,18.74,0.05,0.17,96,"    1,    1,    1","   64,    1,    1","23,446"
8122,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.94,18.71,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,430"
8936,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.94,18.71,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,369"
10823,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.94,18.71,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,399"
12414,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.94,18.71,0.06,0.17,96,"    1,    1,    1","   64,    1,    1","23,396"
14005,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.94,18.71,0.06,0.17,96,"    1,    1,    1","   64,    1,    1","23,405"
15448,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.94,18.71,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,395"
16891,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.94,18.71,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,371"
1132,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.91,18.68,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,350"
3372,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.91,18.68,0.06,0.17,96,"    1,    1,    1","   64,    1,    1","23,355"
3561,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.91,18.68,0.05,0.18,96,"    1,    1,    1","   64,    1,    1","23,353"
6351,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.91,18.68,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,367"
6583,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.91,18.68,0.06,0.17,96,"    1,    1,    1","   64,    1,    1","23,366"
7900,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.91,18.68,0.05,0.17,96,"    1,    1,    1","   64,    1,    1","23,341"
8899,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.91,18.68,0.05,0.18,96,"    1,    1,    1","   64,    1,    1","23,352"
9454,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.91,18.68,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,360"
11933,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.91,18.68,0.05,0.17,96,"    1,    1,    1","   64,    1,    1","23,343"
12636,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.91,18.68,0.05,0.18,96,"    1,    1,    1","   64,    1,    1","23,357"
15670,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.91,18.68,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,351"
16225,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.91,18.68,0.06,0.17,96,"    1,    1,    1","   64,    1,    1","23,353"
9084,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.88,18.64,0.05,0.18,96,"    1,    1,    1","   64,    1,    1","23,356"
9232,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.88,18.64,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,292"
11563,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.88,18.64,0.05,0.18,96,"    1,    1,    1","   64,    1,    1","23,331"
14227,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.88,18.64,0.06,0.17,96,"    1,    1,    1","   64,    1,    1","23,278"
14634,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.88,18.64,0.05,0.18,96,"    1,    1,    1","   64,    1,    1","23,309"
14856,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.88,18.64,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,335"
15855,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.88,18.64,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,286"
1184,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.85,18.61,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,285"
2616,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.85,18.61,0.06,0.17,96,"    1,    1,    1","   64,    1,    1","23,281"
3204,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.85,18.61,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,259"
3477,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.85,18.61,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,279"
5017,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.85,18.61,0.06,0.17,96,"    1,    1,    1","   64,    1,    1","23,259"
5365,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.85,18.61,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,268"
5539,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.85,18.61,0.05,0.18,96,"    1,    1,    1","   64,    1,    1","23,264"
5829,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.85,18.61,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,290"
6148,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.85,18.61,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,274"
8159,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.85,18.61,0.05,0.18,96,"    1,    1,    1","   64,    1,    1","23,284"
8677,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.85,18.61,0.05,0.17,96,"    1,    1,    1","   64,    1,    1","23,290"
10083,98.75,shmemMatApplKernel,..shmemMatApplKernel..,18.85,18.61,0.06,0.18,96,"    1,    1,    1","   64,    1,    1","23,268"
