ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block],Cycles [cycle]
2621,97.62,shmemMatApplKernel,..shmemMatApplKernel..,24.99,24.40,0.27,0.55,168,"    1,    1,    1","   64,    1,    1","35,181"
5005,97.62,shmemMatApplKernel,..shmemMatApplKernel..,25.06,24.46,0.28,0.55,168,"    1,    1,    1","   64,    1,    1","35,270"
11665,97.62,shmemMatApplKernel,..shmemMatApplKernel..,25.06,24.46,0.28,0.55,168,"    1,    1,    1","   64,    1,    1","35,309"
2421,97.62,shmemMatApplKernel,..shmemMatApplKernel..,25.12,24.52,0.27,0.55,168,"    1,    1,    1","   64,    1,    1","35,393"
7957,97.62,shmemMatApplKernel,..shmemMatApplKernel..,25.12,24.52,0.28,0.55,168,"    1,    1,    1","   64,    1,    1","35,357"
12313,97.62,shmemMatApplKernel,..shmemMatApplKernel..,25.12,24.52,0.27,0.55,168,"    1,    1,    1","   64,    1,    1","35,398"
12709,97.62,shmemMatApplKernel,..shmemMatApplKernel..,25.12,24.52,0.27,0.55,168,"    1,    1,    1","   64,    1,    1","35,377"
13645,97.62,shmemMatApplKernel,..shmemMatApplKernel..,25.12,24.52,0.27,0.55,168,"    1,    1,    1","   64,    1,    1","35,392"
14005,97.62,shmemMatApplKernel,..shmemMatApplKernel..,25.12,24.52,0.27,0.55,168,"    1,    1,    1","   64,    1,    1","35,376"
3081,97.62,shmemMatApplKernel,..shmemMatApplKernel..,25.15,24.55,0.27,0.55,168,"    1,    1,    1","   64,    1,    1","35,406"
13105,97.62,shmemMatApplKernel,..shmemMatApplKernel..,25.15,24.55,0.27,0.55,168,"    1,    1,    1","   64,    1,    1","35,395"
13717,97.62,shmemMatApplKernel,..shmemMatApplKernel..,25.15,24.55,0.27,0.55,168,"    1,    1,    1","   64,    1,    1","35,415"
1113,97.62,shmemMatApplKernel,..shmemMatApplKernel..,25.18,24.58,0.27,0.55,168,"    1,    1,    1","   64,    1,    1","35,454"
2481,97.62,shmemMatApplKernel,..shmemMatApplKernel..,25.18,24.58,0.27,0.55,168,"    1,    1,    1","   64,    1,    1","35,484"
4865,97.62,shmemMatApplKernel,..shmemMatApplKernel..,25.18,24.58,0.27,0.55,168,"    1,    1,    1","   64,    1,    1","35,443"
5173,97.62,shmemMatApplKernel,..shmemMatApplKernel..,25.18,24.58,0.27,0.55,168,"    1,    1,    1","   64,    1,    1","35,477"
6573,97.62,shmemMatApplKernel,..shmemMatApplKernel..,25.18,24.58,0.27,0.55,168,"    1,    1,    1","   64,    1,    1","35,433"
10153,97.62,shmemMatApplKernel,..shmemMatApplKernel..,25.18,24.58,0.27,0.55,168,"    1,    1,    1","   64,    1,    1","35,496"
10837,97.62,shmemMatApplKernel,..shmemMatApplKernel..,25.18,24.58,0.27,0.55,168,"    1,    1,    1","   64,    1,    1","35,468"
12961,97.62,shmemMatApplKernel,..shmemMatApplKernel..,25.18,24.58,0.27,0.55,168,"    1,    1,    1","   64,    1,    1","35,439"
