ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [ms],Runtime Improvement [ms],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block],Cycles [cycle]
16,0.00,matmulKernel_diagonal,..BitExtractorByWarpVoting..,28.74,0.00,67.48,77.44,16,"8388608,    1,    1","  128,    1,    1","40,413,410"
8,0.00,matmulKernel_diagonal,..BitExtractorByWarpVoting..,27.72,0.00,65.57,79.66,16,"8388608,    1,    1","  128,    1,    1","39,086,662"
44,0.00,matmulKernel_diagonal,..BitExtractorByWarpVoting..,27.31,0.00,70.89,78.02,16,"8388608,    1,    1","  128,    1,    1","38,390,322"
41,0.00,matmulKernel_diagonal,..BitExtractorByWarpVoting..,26.08,0.00,74.25,79.38,16,"8388608,    1,    1","  128,    1,    1","36,677,368"
12,0.00,matmulKernel_diagonal,..BitExtractorByWarpVoting..,25.72,0.00,44.45,85.68,16,"8388608,    1,    1","  128,    1,    1","36,255,797"
18,0.00,matmulKernel_diagonal,..BitExtractorByWarpVoting..,25.58,0.00,44.70,85.58,16,"8388608,    1,    1","  128,    1,    1","35,963,244"
39,0.00,constMatApplShTargetsKernel,..constMatApplShTargetsKernel..,24.91,0.00,73.48,88.64,56,"1048576,    1,    1","   64,    1,    1","34,984,963"
5,0.00,constMatApplShTargetsKernel,..constMatApplShTargetsKernel..,24.89,0.00,73.29,88.70,56,"1048576,    1,    1","   64,    1,    1","34,958,773"
2,0.00,constMatApplShTargetsKernel,..constMatApplShTargetsKernel..,24.89,0.00,73.25,88.72,56,"1048576,    1,    1","   64,    1,    1","34,977,031"
30,0.00,constMatApplShTargetsKernel,..constMatApplShTargetsKernel..,24.88,0.00,73.30,88.74,56,"1048576,    1,    1","   64,    1,    1","34,938,897"
4,0.00,constMatApplShTargetsKernel,..constMatApplShTargetsKernel..,24.82,0.00,73.32,88.96,56,"1048576,    1,    1","   64,    1,    1","34,733,252"
