Filename,Qubits,User Time (s),CPU Percent,Major Page Faults,Minor Page Faults
slurm-2360130.out,3,0.89,84,9,40821
slurm-2360130.out,3,0.87,91,0,40661
slurm-2360130.out,3,0.89,92,0,41254
slurm-2360130.out,3,0.88,92,0,41339
slurm-2360130.out,3,0.86,92,0,41318
slurm-2360130.out,3,0.88,91,0,40963
slurm-2360130.out,3,0.88,91,0,41230
slurm-2360130.out,3,0.89,92,0,41408
slurm-2360130.out,3,0.88,92,0,40468
slurm-2360130.out,3,0.89,91,0,41326
slurm-2360133.out,2,0.90,84,2,40877
slurm-2360133.out,2,0.92,91,0,41232
slurm-2360133.out,2,0.89,90,0,40867
slurm-2360133.out,2,0.91,90,0,41282
slurm-2360133.out,2,0.89,90,0,41457
slurm-2360133.out,2,0.91,88,0,41266
slurm-2360133.out,2,0.90,88,0,41251
slurm-2360133.out,2,0.89,90,0,41126
slurm-2360133.out,2,0.91,88,0,41327
slurm-2360133.out,2,0.91,88,0,40961
slurm-2360132.out,4,0.91,84,0,40740
slurm-2360132.out,4,0.90,87,0,40968
slurm-2360132.out,4,0.88,87,0,41602
slurm-2360132.out,4,0.89,86,0,41294
slurm-2360132.out,4,0.86,88,0,41575
slurm-2360132.out,4,0.88,87,0,41865
slurm-2360132.out,4,0.88,87,0,41387
slurm-2360132.out,4,0.87,87,0,41343
slurm-2360132.out,4,0.88,87,0,41620
slurm-2360132.out,4,0.88,87,0,41288
slurm-2360134.out,5,0.87,85,0,41626
slurm-2360134.out,5,0.87,89,0,41679
slurm-2360134.out,5,0.89,89,0,41415
slurm-2360134.out,5,0.86,87,0,41939
slurm-2360134.out,5,0.87,91,0,41901
slurm-2360134.out,5,0.87,90,0,40906
slurm-2360134.out,5,0.88,89,0,41727
slurm-2360134.out,5,0.88,92,0,41468
slurm-2360134.out,5,0.86,92,0,41511
slurm-2360134.out,5,0.88,90,0,41683
slurm-2360135.out,6,0.91,85,0,40659
slurm-2360135.out,6,0.89,86,0,41602
slurm-2360135.out,6,0.90,89,5,42338
slurm-2360135.out,6,0.91,89,0,41076
slurm-2360135.out,6,0.92,93,0,42377
slurm-2360135.out,6,0.91,89,0,41489
slurm-2360135.out,6,0.89,92,0,41309
slurm-2360135.out,6,0.92,94,0,41861
slurm-2360135.out,6,0.91,91,0,41068
slurm-2360135.out,6,0.90,92,0,40859
slurm-2360140.out,7,0.91,83,0,42643
slurm-2360140.out,7,0.86,87,0,41874
slurm-2360140.out,7,0.86,91,0,42863
slurm-2360140.out,7,0.87,89,0,42764
slurm-2360140.out,7,0.90,92,0,41921
slurm-2360140.out,7,0.86,93,0,42914
slurm-2360140.out,7,0.87,92,0,42054
slurm-2360140.out,7,0.88,92,0,42250
slurm-2360140.out,7,0.88,92,0,42436
slurm-2360140.out,7,0.88,92,0,42240
slurm-2360141.out,8,0.89,82,0,42025
slurm-2360141.out,8,0.87,91,0,42442
slurm-2360141.out,8,0.89,92,0,42611
slurm-2360141.out,8,0.88,88,0,42062
slurm-2360141.out,8,0.86,90,0,42285
slurm-2360141.out,8,0.88,91,0,42080
slurm-2360141.out,8,0.87,88,0,42686
slurm-2360141.out,8,0.87,91,0,42083
slurm-2360141.out,8,0.89,90,0,42427
slurm-2360141.out,8,0.87,86,0,42579
slurm-2360142.out,9,0.89,84,0,42245
slurm-2360142.out,9,0.91,91,0,42382
slurm-2360142.out,9,0.93,91,0,42063
slurm-2360142.out,9,0.89,90,0,41688
slurm-2360142.out,9,0.91,90,0,41809
slurm-2360142.out,9,0.90,90,0,42178
slurm-2360142.out,9,0.91,91,0,42358
slurm-2360142.out,9,0.91,92,0,42686
slurm-2360142.out,9,0.90,87,0,42013
slurm-2360142.out,9,0.92,88,0,42238
slurm-2360143.out,10,0.87,82,0,42425
slurm-2360143.out,10,0.87,85,0,42356
slurm-2360143.out,10,0.87,92,0,41651
slurm-2360143.out,10,0.88,92,0,42420
slurm-2360143.out,10,0.88,92,0,42075
slurm-2360143.out,10,0.87,92,0,42374
slurm-2360143.out,10,0.89,91,0,42377
slurm-2360143.out,10,0.87,92,0,42046
