Filename,Qubits,User Time (s),CPU Percent,Major Page Faults,Minor Page Faults
slurm-2358330.out,2,0.76,61,2379,65223
slurm-2358330.out,2,0.78,78,8,49301
slurm-2358330.out,2,0.77,78,5,48924
slurm-2358330.out,2,0.77,80,4,48206
slurm-2358330.out,2,0.75,74,0,48846
slurm-2358330.out,2,0.74,85,0,65422
slurm-2358330.out,2,0.75,84,2,65744
slurm-2358330.out,2,0.76,83,0,65394
slurm-2358330.out,2,0.75,85,0,49234
slurm-2358330.out,2,0.74,88,0,48855
slurm-2358331.out,3,0.75,64,266,66453
slurm-2358331.out,3,0.74,68,6,66103
slurm-2358331.out,3,0.74,87,0,49657
slurm-2358331.out,3,0.74,68,0,63922
slurm-2358331.out,3,0.73,68,0,52853
slurm-2358331.out,3,0.74,70,0,64198
slurm-2358331.out,3,0.74,71,0,65644
slurm-2358331.out,3,0.72,72,0,64674
slurm-2358331.out,3,0.75,69,0,64915
slurm-2358331.out,3,0.75,70,0,64847
slurm-2358332.out,4,0.75,74,178,66300
slurm-2358332.out,4,0.75,80,6,48419
slurm-2358332.out,4,0.76,75,1,48958
slurm-2358332.out,4,0.76,83,7,66650
slurm-2358332.out,4,0.75,87,0,49374
slurm-2358332.out,4,0.76,83,0,66413
slurm-2358332.out,4,0.76,85,0,66394
slurm-2358332.out,4,0.77,86,0,66485
slurm-2358332.out,4,0.77,85,0,65466
slurm-2358332.out,4,0.75,87,0,49228
slurm-2358333.out,5,0.73,67,3,62047
slurm-2358333.out,5,0.74,81,0,50036
slurm-2358333.out,5,0.73,81,0,49084
slurm-2358333.out,5,0.74,82,0,49968
slurm-2358333.out,5,0.72,83,0,49868
slurm-2358333.out,5,0.73,83,0,49994
slurm-2358333.out,5,0.74,81,0,49658
slurm-2358333.out,5,0.74,82,0,49874
slurm-2358333.out,5,0.77,82,0,58958
slurm-2358333.out,5,0.74,82,0,52407
slurm-2358335.out,6,0.74,64,0,64918
slurm-2358335.out,6,0.74,82,0,49842
slurm-2358335.out,6,0.73,82,0,49011
slurm-2358335.out,6,0.73,81,0,49947
slurm-2358335.out,6,0.72,82,0,49112
slurm-2358335.out,6,0.75,70,0,65326
slurm-2358335.out,6,0.76,69,0,64744
slurm-2358335.out,6,0.76,71,0,64127
slurm-2358335.out,6,0.73,70,0,65572
slurm-2358335.out,6,0.74,71,0,66360
slurm-2358336.out,7,0.76,80,0,66032
slurm-2358336.out,7,0.73,86,0,49493
slurm-2358336.out,7,0.75,86,0,67041
slurm-2358336.out,7,0.75,86,0,66346
slurm-2358336.out,7,0.75,89,0,49066
slurm-2358336.out,7,0.75,87,0,50060
slurm-2358336.out,7,0.74,81,0,66928
slurm-2358336.out,7,0.76,75,0,66941
slurm-2358336.out,7,0.77,76,0,66907
slurm-2358336.out,7,0.75,75,0,66741
slurm-2358337.out,8,0.76,63,0,48796
slurm-2358337.out,8,0.76,74,0,48085
slurm-2358337.out,8,0.75,75,0,48742
slurm-2358337.out,8,0.75,74,0,49585
slurm-2358337.out,8,0.74,91,0,49515
slurm-2358337.out,8,0.75,86,0,49475
slurm-2358337.out,8,0.75,83,0,49722
slurm-2358337.out,8,0.74,87,0,49729
slurm-2358337.out,8,0.75,85,0,49506
slurm-2358337.out,8,0.76,83,0,49722
slurm-2358338.out,9,0.74,58,0,53648
slurm-2358338.out,9,0.74,69,0,52791
slurm-2358338.out,9,0.74,69,0,65006
slurm-2358338.out,9,0.74,71,0,65850
slurm-2358338.out,9,0.76,84,0,52555
slurm-2358338.out,9,0.73,84,0,49787
slurm-2358338.out,9,0.74,84,0,49820
slurm-2358338.out,9,0.72,81,0,50310
slurm-2358338.out,9,0.73,69,0,65731
slurm-2358338.out,9,0.75,90,0,49933
slurm-2358339.out,10,0.77,83,0,66420
slurm-2358339.out,10,0.73,89,0,48736
slurm-2358339.out,10,0.74,89,0,49675
slurm-2358339.out,10,0.76,87,0,49459
slurm-2358339.out,10,0.76,90,0,49146
slurm-2358339.out,10,0.75,90,0,50336
slurm-2358339.out,10,0.74,79,0,49385
slurm-2358339.out,10,0.76,79,0,67150
slurm-2358339.out,10,0.77,80,0,49058
slurm-2358339.out,10,0.76,76,0,49306
slurm-2358340.out,11,0.73,60,2,65316
slurm-2358340.out,11,0.75,69,0,49340
slurm-2358340.out,11,0.75,67,0,65824
slurm-2358340.out,11,0.74,69,0,49927
slurm-2358340.out,11,0.72,86,0,50273
slurm-2358340.out,11,0.73,82,0,49620
slurm-2358340.out,11,0.73,82,0,49509
slurm-2358340.out,11,0.73,83,0,49172
slurm-2358340.out,11,0.74,83,0,52752
slurm-2358340.out,11,0.73,89,0,50066
slurm-2358341.out,12,0.75,82,0,66735
slurm-2358341.out,12,0.75,91,0,49205
slurm-2358341.out,12,0.76,90,0,48801
slurm-2358341.out,12,0.77,87,0,49640
slurm-2358341.out,12,0.77,89,0,49007
slurm-2358341.out,12,0.76,88,0,49369
slurm-2358341.out,12,0.74,87,0,49066
slurm-2358341.out,12,0.75,89,0,48431
slurm-2358341.out,12,0.77,86,0,48950
slurm-2358341.out,12,0.75,78,0,66844
slurm-2358342.out,13,0.75,69,0,49778
slurm-2358342.out,13,0.76,73,0,60124
slurm-2358342.out,13,0.75,74,0,65810
slurm-2358342.out,13,0.76,76,0,49789
slurm-2358342.out,13,0.72,75,0,49730
slurm-2358342.out,13,0.75,74,0,64868
slurm-2358342.out,13,0.73,61,0,50331
slurm-2358342.out,13,0.74,81,0,63701
slurm-2358342.out,13,0.76,73,0,65012
slurm-2358342.out,13,0.75,67,0,52646
slurm-2358343.out,14,0.75,62,0,66326
slurm-2358343.out,14,0.76,72,0,66266
slurm-2358343.out,14,0.78,80,0,67001
slurm-2358343.out,14,0.75,87,0,49891
slurm-2358343.out,14,0.76,73,0,66999
