Filename,Qubits,User Time (s),CPU Percent,Major Page Faults,Minor Page Faults
slurm-2358323.out,28,0.92,88,0,42939
slurm-2358323.out,28,0.92,92,0,42660
slurm-2358323.out,28,0.91,91,0,42921
slurm-2358323.out,28,0.91,92,0,42364
slurm-2358323.out,28,0.92,92,0,42058
slurm-2358323.out,28,0.90,94,0,42785
slurm-2358323.out,28,0.91,94,0,42837
slurm-2358323.out,28,0.90,94,0,42720
slurm-2358323.out,28,0.91,93,0,42941
slurm-2358323.out,28,0.90,93,0,42849
slurm-2358292.out,3,0.90,85,7,42261
slurm-2358292.out,3,0.86,91,5,41690
slurm-2358292.out,3,0.87,92,0,42631
slurm-2358292.out,3,0.89,92,0,42126
slurm-2358292.out,3,0.87,92,0,42042
slurm-2358292.out,3,0.86,91,0,42837
slurm-2358292.out,3,0.86,91,0,43000
slurm-2358292.out,3,0.88,91,0,42913
slurm-2358292.out,3,0.88,92,0,42724
slurm-2358292.out,3,0.87,91,0,43259
slurm-2358313.out,18,0.88,86,1,42862
slurm-2358313.out,18,0.87,93,0,42593
slurm-2358313.out,18,0.86,91,0,43159
slurm-2358313.out,18,0.87,92,0,42390
slurm-2358313.out,18,0.85,92,0,42519
slurm-2358313.out,18,0.85,92,0,42877
slurm-2358313.out,18,0.88,91,0,43153
slurm-2358313.out,18,0.88,92,0,42695
slurm-2358313.out,18,0.89,93,0,43346
slurm-2358313.out,18,0.86,93,0,43102
slurm-2358296.out,6,0.89,86,0,42577
slurm-2358296.out,6,0.87,91,0,42598
slurm-2358296.out,6,0.88,92,0,43170
slurm-2358296.out,6,0.88,92,0,42606
slurm-2358296.out,6,0.87,91,0,43283
slurm-2358296.out,6,0.84,91,0,43334
slurm-2358296.out,6,0.86,91,0,42940
slurm-2358296.out,6,0.88,92,0,42407
slurm-2358296.out,6,0.88,92,0,42759
slurm-2358296.out,6,0.87,92,0,42823
slurm-2358294.out,4,0.85,86,6,42248
slurm-2358294.out,4,0.88,92,0,41843
slurm-2358294.out,4,0.85,89,6,43065
slurm-2358294.out,4,0.85,91,7,41491
slurm-2358294.out,4,0.86,91,0,42596
slurm-2358294.out,4,0.86,91,0,42259
slurm-2358294.out,4,0.86,92,0,42560
slurm-2358294.out,4,0.85,91,0,42966
slurm-2358294.out,4,0.87,91,0,42589
slurm-2358294.out,4,0.88,92,0,42946
slurm-2358295.out,5,0.90,85,2,43115
slurm-2358295.out,5,0.87,91,0,43078
slurm-2358295.out,5,0.86,92,0,43296
slurm-2358295.out,5,0.88,91,0,42771
slurm-2358295.out,5,0.88,91,0,43413
slurm-2358295.out,5,0.88,91,0,42864
