Filename,Qubits,User Time (s),CPU Percent,Major Page Faults,Minor Page Faults
slurm-2360072.out,2,0.79,72,3,59879
slurm-2360072.out,2,0.81,83,0,51685
slurm-2360072.out,2,0.79,83,0,50824
slurm-2360072.out,2,0.79,83,0,50673
slurm-2360072.out,2,0.82,83,0,50877
slurm-2360072.out,2,0.79,82,0,50448
slurm-2360072.out,2,0.80,82,0,50392
slurm-2360072.out,2,0.79,76,0,56951
slurm-2360072.out,2,0.80,83,0,57604
slurm-2360072.out,2,0.79,83,0,50651
slurm-2360073.out,3,0.80,73,0,59863
slurm-2360073.out,3,0.79,83,0,50132
slurm-2360073.out,3,0.79,82,0,50309
slurm-2360073.out,3,0.81,83,0,50215
slurm-2360073.out,3,0.79,82,0,50632
slurm-2360073.out,3,0.80,83,0,50380
slurm-2360073.out,3,0.78,85,0,47364
slurm-2360073.out,3,0.79,82,0,50579
slurm-2360073.out,3,0.78,82,0,51096
slurm-2360073.out,3,0.80,82,0,50894
slurm-2360074.out,4,0.78,66,0,51110
slurm-2360074.out,4,0.76,82,0,47509
slurm-2360074.out,4,0.77,82,0,47832
slurm-2360074.out,4,0.78,82,0,47382
slurm-2360074.out,4,0.77,82,0,48127
slurm-2360074.out,4,0.76,82,0,48268
slurm-2360074.out,4,0.76,83,0,48003
slurm-2360074.out,4,0.78,71,0,58604
slurm-2360074.out,4,0.78,71,0,62015
slurm-2360074.out,4,0.78,71,0,50278
slurm-2360075.out,5,0.76,69,0,62545
slurm-2360075.out,5,0.77,71,0,62801
slurm-2360075.out,5,0.77,72,0,61397
slurm-2360075.out,5,0.76,87,0,48073
slurm-2360075.out,5,0.76,82,0,48294
slurm-2360075.out,5,0.78,82,0,50027
slurm-2360075.out,5,0.76,82,0,48336
slurm-2360075.out,5,0.76,82,0,48266
slurm-2360075.out,5,0.77,82,0,48492
slurm-2360075.out,5,0.76,82,0,47796
slurm-2360076.out,6,0.78,70,0,49273
slurm-2360076.out,6,0.78,83,0,60574
slurm-2360076.out,6,0.77,82,0,48159
slurm-2360076.out,6,0.76,82,0,48050
slurm-2360076.out,6,0.79,82,0,47536
slurm-2360076.out,6,0.78,82,0,47587
slurm-2360076.out,6,0.77,72,0,57280
slurm-2360076.out,6,0.77,82,0,50250
slurm-2360076.out,6,0.77,82,0,47759
slurm-2360076.out,6,0.76,80,0,48393
slurm-2360077.out,7,0.79,67,0,50743
slurm-2360077.out,7,0.77,83,0,50058
slurm-2360077.out,7,0.78,82,0,49475
slurm-2360077.out,7,0.76,82,0,49076
slurm-2360077.out,7,0.78,82,0,49265
slurm-2360077.out,7,0.78,82,0,48514
slurm-2360077.out,7,0.77,82,0,51671
slurm-2360077.out,7,0.77,79,0,59613
slurm-2360077.out,7,0.78,80,0,61853
slurm-2360077.out,7,0.77,80,0,53078
slurm-2360078.out,8,0.79,68,0,62948
slurm-2360078.out,8,0.78,79,0,51303
slurm-2360078.out,8,0.76,78,0,51714
slurm-2360078.out,8,0.76,82,0,48487
slurm-2360078.out,8,0.77,82,0,48424
slurm-2360078.out,8,0.78,80,1,48612
